Item #,Supplier Part Number 1,Manufacturer 1,Manufacturer Part Number 1,Designator,Quantity,Description,Value,Supplier 1,Unit Price,Ext Price,Have,Need for 110 Rascals
1,587-1303-1-ND,Taiyo Yuden,JMK212BJ106KG-T,"C3, C6, C8, C10, C12, C14, C15, C30, C31, C34, C36, C37, C40, C48, C50, C52, C55, C56",18,Capacitor,10uF,Digi-Key,0.0408,0.7344,1020,960
2,445-5138-1-ND,TDK Corporation,C1608X7R1A105K,"C32, C33, C38, C39, C42, C43, C65",7,Capacitor,1uF,Digi-Key,0.0258,0.1806,0,770
3,445-1269-1-ND,TDK Corporation,C1608C0G1H100D,"C35, C41, C59, C60",4,Capacitor,10pF,Digi-Key,0.013525,0.0541,0,440
4,445-1273-1-ND,TDK Corporation,C1608C0G1H220J,"C61, C62",2,Capacitor,22pF,Digi-Key,0.0138,0.0276,710,0
5,445-1316-1-ND,TDK Corporation,C1608X7R1E104K,"C7, C9, C11, C13, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C44, C46, C47, C49, C51, C53, C54, C57, C58",27,Capacitor,100nF,Digi-Key,0.006,0.162,1105,1865
6,1N4148WSFSCT-ND,Fairchild Semiconductor,1N4148WS,D1,1,Diode,,Digi-Key,0.0881,0.0881,875,0
7,160-1179-1-ND,Lite-On Inc,LTST-C170GKT,"D2, D4",2,Green LED,,Digi-Key,0.1512,0.3024,2746,0
8,507-1455-ND,Bel Fuse Inc,L829-1X1T-91,J1,1,RJ45 jack,,Digi-Key,4.464,4.464,5,105
9,43K4479,FCI,72309-8034BLF,J10,1,USB double decker jack,,Newark,0.875,0.875,0,110
10,929834E-01-02-ND,3M,929834-01-02-RK,J11,1,2-pin jumper,,Digi-Key,0.2063,0.2063,365,0
11,SAM1213-06-ND,Samtec,SSW-106-01-T-S,"J3, J4",2,6-pin socket,,Digi-Key,0.4951,0.9902,239,0
